Table 8,,,,,,,,,,,,,
CALIFORNIA,,,,,,,,,,,,,
Offenses Known to Law Enforcement,,,,, ,,,,,,,,
"by City, 2013",,,,,,,,,,,,,
City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1","Rape
(legacy
definition)2",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,
Adelanto,"31,165",198,2,,15,52,129,886,381,372,133,17,
Agoura Hills,"20,762",19,0,,2,10,7,306,109,185,12,7,
Alameda,"76,206",158,0,,10,85,63,"1,902",287,"1,285",330,17,
Albany,"19,104",29,0,,1,24,4,557,94,388,75,7,
Alhambra,"84,710",163,1,,9,81,72,"1,774",344,"1,196",234,7,
Aliso Viejo,"50,005",25,0,,2,4,19,315,71,224,20,3,
Alturas,"2,681",28,1,,4,2,21,71,23,46,2,0,
American Canyon,"20,068",54,0,,4,31,19,510,91,387,32,2,
Anaheim,"345,320","1,130",11,,82,437,600,"9,611","1,412","6,518","1,681",35,
Anderson,"10,098",63,0,,8,9,46,721,147,454,120,5,
Antioch,"106,447",946,12,,25,352,557,"4,440","1,351","1,872","1,217",57,
Apple Valley,"71,159",185,3,,12,58,112,"1,594",596,775,223,22,
Arcadia,"57,855",77,0,,1,37,39,"1,518",376,"1,080",62,3,
Arcata,"17,805",67,3,,7,15,42,841,147,634,60,14,
Arroyo Grande,"17,634",31,0,,5,4,22,455,137,288,30,0,
Artesia,"16,734",63,2,,0,28,33,323,91,177,55,1,
Arvin,"20,390",153,2,,1,16,134,744,323,308,113,15,
Atascadero,"28,938",97,1,,12,24,60,544,119,400,25,7,
Atherton,"7,278",10,0,,1,1,8,115,34,78,3,1,
Atwater,"28,906",182,1,,7,22,152,"1,323",361,804,158,5,
Auburn,"13,779",49,0,,2,13,34,302,86,190,26,7,
Avalon,"3,777",4,0,,0,2,2,88,13,57,18,1,
Avenal,"14,712",62,0,,4,6,52,147,63,67,17,2,
Azusa,"47,754",246,2,,4,36,204,"1,098",256,671,171,6,
Bakersfield,"361,859","1,857",24,,43,708,"1,082","16,814","4,605","9,272","2,937",193,
Baldwin Park,"76,745",220,5,,6,74,135,"1,370",280,727,363,8,
Banning,"30,503",129,2,,9,26,92,808,355,323,130,0,
Barstow,"23,144",229,3,,13,45,168,785,329,354,102,11,
Bear Valley,"5,328",12,0,,1,0,11,111,10,101,0,0,
Beaumont,"40,208",85,1,,8,20,56,"1,298",180,"1,015",103,6,
Bell,"35,928",208,0,,10,81,117,535,124,334,77,0,
Bellflower,"77,594",279,1,,9,105,164,"1,882",427,968,487,13,
Bell Gardens,"42,980",120,1,,3,56,60,763,141,351,271,2,
Belmont,"26,697",27,1,,5,4,17,437,129,269,39,1,
Belvedere,"2,120",0,0,,0,0,0,26,5,20,1,0,
Benicia,"27,558",30,0,,4,8,18,383,134,199,50,8,
Berkeley,"116,217",562,4,,26,410,122,"5,377","1,055","3,658",664,16,
Beverly Hills,"34,780",77,0,,5,29,43,"1,179",239,899,41,4,
Big Bear Lake,"5,144",56,0,,5,5,46,215,77,126,12,1,
Biggs,"1,711",16,0,,0,0,16,34,11,18,5,0,
Bishop,"3,861",28,0,,0,4,24,108,24,80,4,0,
Blythe,"20,629",65,1,,4,20,40,693,223,435,35,25,
Bradbury,"1,080",1,0,,0,0,1,16,5,9,2,0,
Brawley,"25,753",61,0,,5,7,49,"1,211",301,854,56,36,
Brea,"40,600",64,2,,4,22,36,"1,210",205,939,66,3,
Brentwood,"54,301",89,0,,11,20,58,"1,214",253,848,113,5,
Brisbane,"4,429",5,0,,0,1,4,98,19,73,6,1,
Broadmoor,"4,301",14,0,,3,2,9,55,20,29,6,0,
Buellton,"4,927",7,0,,3,1,3,62,15,46,1,0,
Buena Park,"82,632",221,2,,13,80,126,"2,165",361,"1,435",369,2,
Burbank,"104,727",171,0,,13,51,107,"2,430",285,"1,926",219,6,
Burlingame,"29,936",37,0,,2,12,23,665,148,472,45,5,
Calabasas,"24,114",20,0,,3,6,11,313,84,222,7,7,
Calexico,"39,527",92,0,,0,27,65,"1,474",362,837,275,3,
California City,"13,339",87,0,,4,9,74,683,425,239,19,0,
Calimesa,"8,118",14,0,,0,5,9,165,44,106,15,0,
Calistoga,"5,223",9,0,,1,1,7,75,27,45,3,0,
Camarillo,"66,173",73,0,,6,25,42,"1,130",205,849,76,9,
Campbell,"40,549",106,2,,12,24,68,"1,563",341,"1,016",206,11,
Canyon Lake,"10,944",3,0,,0,0,3,157,34,109,14,0,
Capitola,"10,038",38,1,,3,4,30,600,41,532,27,2,
Carlsbad,"110,505",221,1,,23,44,153,"2,085",525,"1,436",124,10,
Carmel,"3,833",9,0,,2,2,5,105,32,70,3,0,
Carpinteria,"13,287",21,0,,3,4,14,261,50,191,20,0,
Carson,"93,415",400,3,,15,148,234,"2,251",514,"1,248",489,9,
Cathedral City,"53,064",149,4,,9,44,92,"1,118",399,417,302,1,
Central Marin,"34,105",41,0,,5,12,24,695,276,358,61,1,
Ceres,"45,876",133,1,,9,41,82,"1,720",355,"1,026",339,14,
Cerritos,"49,816",82,0,,4,42,36,"1,802",374,"1,210",218,6,
Chico,"88,226",299,2,,41,95,161,"2,572",622,"1,568",382,37,
Chino,"80,704",258,4,,7,47,200,"2,044",518,"1,249",277,4,
Chino Hills,"76,943",63,0,,5,11,47,"1,017",315,615,87,4,
Chowchilla,"17,696",81,0,,3,7,71,452,196,213,43,7,
Chula Vista,"255,073",595,2,,29,248,316,"5,284",971,"3,532",781,35,
Citrus Heights,"85,337",320,7,,19,76,218,"2,653",483,"1,825",345,14,
City of Angels,"3,729",9,0,,1,1,7,57,28,26,3,0,
Claremont,"35,623",37,0,,2,23,12,894,280,546,68,5,
Clayton,"11,439",2,0,,0,2,0,101,37,54,10,0,
Clearlake,"14,951",125,2,,13,21,89,690,309,292,89,13,
Cloverdale,"8,718",5,0,,0,0,5,158,44,102,12,1,
Clovis,"99,483",181,0,,23,47,111,"3,404",879,"2,220",305,12,
Coachella,"43,330",118,2,,2,56,58,"1,372",358,634,380,5,
Coalinga,"16,398",131,0,,7,6,118,485,169,282,34,12,
Colma,"1,481",5,0,,1,1,3,273,13,238,22,1,
Colton,"53,403",161,2,,6,69,84,"1,936",532,"1,018",386,1,
Colusa,"5,957",10,0,,4,2,4,138,47,71,20,0,
Commerce,"12,995",83,1,,2,39,41,893,101,515,277,6,
Compton,"97,907","1,242",36,,26,360,820,"2,538",579,"1,160",799,39,
Concord,"125,464",407,1,,12,159,235,"4,357",825,"2,764",768,9,
Corcoran,"23,290",71,0,,2,10,59,364,103,215,46,2,
Corning,"7,631",47,0,,0,4,43,300,89,173,38,2,
Corona,"160,159",162,9,,14,65,74,"3,439",644,"2,305",490,9,
Coronado,"23,183",11,0,,2,4,5,555,57,470,28,4,
Costa Mesa,"112,538",252,1,,46,94,111,"3,556",512,"2,748",296,13,
Cotati,"7,388",35,0,,0,6,29,79,31,41,7,0,
Covina,"48,524",138,0,,9,52,77,"1,344",369,818,157,9,
Crescent City,"7,333",94,0,,7,13,74,202,61,125,16,0,
Cudahy,"24,091",111,0,,4,38,69,320,64,174,82,1,
Culver City,"39,452",161,0,,7,88,66,"1,616",174,"1,327",115,1,
Cupertino,"60,440",41,0,,3,23,15,812,179,584,49,15,
Cypress,"49,067",50,0,,4,17,29,934,148,689,97,6,
Daly City,"104,536",223,0,,15,90,118,"1,833",352,"1,190",291,26,
Dana Point,"34,262",70,0,,9,10,51,586,133,429,24,0,
Danville,"43,411",17,0,,3,2,12,413,94,291,28,2,
Davis,"66,126",103,3,,31,20,49,"1,777",723,967,87,10,
Delano,"52,210",309,6,,4,81,218,"1,949",713,793,443,51,
Del Mar,"4,290",16,0,,1,3,12,179,34,134,11,0,
Del Rey Oaks,"1,673",5,0,,0,3,2,39,10,29,0,0,
Desert Hot Springs,"27,936",277,2,,3,63,209,"1,103",487,475,141,3,
Diamond Bar,"56,619",62,0,,3,25,34,886,344,476,66,1,
Dinuba,"23,440",214,0,,6,20,188,871,333,446,92,5,
Dixon,"18,743",35,0,,4,1,30,411,103,263,45,1,
Dorris,910,1,0,,0,0,1,17,3,11,3,0,
Dos Palos,"5,071",89,1,,31,2,55,210,56,100,54,0,
Downey,"113,222",326,7,,12,171,136,"3,292",573,"1,873",846,9,
Duarte,"21,759",41,1,,1,19,20,366,97,214,55,0,
Dublin,"49,789",70,0,,1,15,54,739,168,494,77,5,
Dunsmuir,"1,589",4,0,,0,1,3,34,9,24,1,0,
East Palo Alto,"29,086",347,8,,11,80,248,597,236,231,130,0,
Eastvale,"54,882",63,1,,9,18,35,"1,005",203,667,135,1,
El Cajon,"102,012",386,2,,29,143,212,"2,730",493,"1,775",462,17,
El Centro,"43,249",144,1,,7,54,82,"2,039",416,"1,499",124,3,
El Cerrito,"24,184",92,0,,0,63,29,"1,120",280,717,123,1,
Elk Grove,"160,925",469,0,,6,99,364,"2,963",544,"2,229",190,11,
El Monte,"115,591",340,3,,14,155,168,"2,182",568,"1,038",576,11,
El Segundo,"16,911",37,0,,0,19,18,538,143,343,52,6,
Emeryville,"10,415",132,0,,2,70,60,"1,651",135,"1,362",154,2,
Encinitas,"61,433",127,1,,9,21,96,"1,081",258,752,71,1,
Escalon,"7,304",10,0,,1,0,9,191,58,114,19,2,
Escondido,"148,650",596,6,,39,201,350,"3,965",717,"2,476",772,12,
Etna,721,1,0,,0,0,1,3,0,3,0,1,
Eureka,"26,881",192,2,,17,73,100,"2,087",399,"1,506",182,25,
Exeter,"10,506",20,1,,3,4,12,249,72,158,19,2,
Fairfax,"7,563",13,0,,3,1,9,104,30,68,6,1,
Fairfield,"108,425",498,3,,13,165,317,"3,534",735,"2,170",629,20,
Farmersville,"10,786",47,0,,1,15,31,258,104,119,35,2,
Ferndale,"1,364",4,0,,0,0,4,26,10,15,1,0,
Fillmore,"15,206",26,0,,1,4,21,152,26,106,20,7,
Firebaugh,"8,062",70,0,,6,3,61,49,18,28,3,3,
Folsom,"73,782",98,0,,7,35,56,"1,336",240,"1,024",72,10,
Fontana,"203,427",725,10,,33,202,480,"4,088",872,"2,217",999,9,
Fort Bragg,"7,245",53,0,,1,2,50,391,94,282,15,4,
Fort Jones,823,1,0,,0,0,1,9,5,4,0,0,
Fortuna,"11,803",41,0,,2,4,35,429,85,321,23,2,
Foster City,"32,652",15,0,,2,3,10,305,69,216,20,4,
Fountain Valley,"56,805",92,0,,9,20,63,"1,170",262,835,73,5,
Fowler,"6,038",37,0,,3,2,32,166,29,96,41,2,
Fremont,"224,475",273,1,,25,136,111,"4,097",944,"2,484",669,21,
Fresno,"508,876","2,552",40,,53,903,"1,556","22,584","5,223","13,304","4,057",184,
Fullerton,"139,676",372,0,,29,107,236,"3,859",627,"2,873",359,27,
Galt,"24,553",63,2,,7,15,39,517,190,263,64,4,
Gardena,"59,703",245,0,,16,144,85,"1,331",298,726,307,7,
Garden Grove,"175,469",455,5,,16,137,297,"3,397",637,"2,221",539,29,
Gilroy,"51,240",180,3,,15,51,111,"1,740",222,"1,283",235,10,
Glendale,"195,366",181,1,,8,75,97,"3,198",563,"2,384",251,5,
Glendora,"50,893",65,2,,7,30,26,"1,340",173,"1,096",71,6,
Goleta,"30,401",43,0,,7,9,27,451,137,301,13,1,
Gonzales,"8,428",24,0,,2,7,15,109,35,55,19,2,
Grand Terrace,"12,364",38,0,,1,16,21,279,77,143,59,2,
Grass Valley,"12,792",115,0,,2,10,103,751,131,551,69,5,
Greenfield,"16,922",89,1,,1,31,56,259,62,141,56,3,
Gridley,"6,563",72,1,,4,1,66,191,53,115,23,6,
Grover Beach,"13,398",39,0,,7,7,25,303,94,174,35,1,
Guadalupe,"7,205",10,0,,1,1,8,52,12,29,11,0,
Gustine,"5,655",39,0,,2,5,32,125,50,55,20,8,
Hanford,"54,425",299,2,,10,63,224,"1,939",345,"1,401",193,11,
Hawaiian Gardens,"14,437",56,1,,2,21,32,205,47,106,52,1,
Hawthorne,"86,132",580,6,,32,299,243,"2,242",523,"1,333",386,6,
Hayward,"150,955",589,5,,33,333,218,"4,844","1,051","2,122","1,671",21,
Healdsburg,"11,483",25,0,,3,2,20,236,47,181,8,0,
Hemet,"81,698",447,4,,24,173,246,"3,963","1,110","2,294",559,1,
Hercules,"24,831",22,0,,2,6,14,274,83,143,48,0,
Hermosa Beach,"19,858",27,0,,4,6,17,549,119,395,35,0,
Hesperia,"92,621",371,1,,17,83,270,"2,330",869,"1,052",409,15,
Hidden Hills,"1,905",2,0,,0,2,0,7,6,1,0,0,
Highland,"54,462",191,3,,8,56,124,"1,362",480,527,355,9,
Hillsborough,"11,245",0,0,,0,0,0,57,32,23,2,0,
Hollister,"36,414",195,4,,14,26,151,570,185,312,73,7,
Holtville,"6,022",12,0,,2,1,9,102,26,67,9,0,
Hughson,"6,898",7,0,,0,1,6,147,50,77,20,1,
Huntington Beach,"195,842",362,2,,31,100,229,"4,934",793,"3,796",345,25,
Huntington Park,"58,852",359,1,,6,197,155,"1,812",220,"1,003",589,5,
Huron,"6,812",71,1,,2,16,52,271,96,134,41,2,
Imperial,"15,943",7,0,,0,1,6,86,18,53,15,0,
Imperial Beach,"26,998",133,1,,6,25,101,454,125,228,101,3,
Indian Wells,"5,174",7,0,,0,2,5,172,48,116,8,0,
Indio,"80,243",468,1,,34,120,313,"2,699",792,"1,335",572,9,
Industry,223,51,0,,4,18,29,"1,041",110,705,226,1,
Inglewood,"111,672",739,14,,29,326,370,"2,718",637,"1,441",640,23,
Ione,"7,160",6,0,,0,1,5,101,28,65,8,1,
Irvine,"235,830",113,2,,12,38,61,"3,285",583,"2,553",149,10,
Irwindale,"1,440",20,0,,1,4,15,229,40,145,44,3,
Isleton,817,9,0,,0,3,6,46,23,23,0,0,
Jackson,"4,549",23,0,,2,2,19,179,60,112,7,5,
Jurupa Valley,"98,090",267,3,,12,75,177,"3,065",570,"1,732",763,2,
Kensington,"5,230",5,0,,0,0,5,85,36,35,14,2,
Kerman,"14,543",45,0,,2,9,34,436,120,233,83,1,
King City,"13,260",68,5,,0,20,43,201,84,93,24,2,
Kingsburg,"11,651",23,0,,3,2,18,327,111,162,54,2,
La Canada Flintridge,"20,572",12,0,,0,3,9,303,96,196,11,1,
Lafayette,"24,829",21,0,,0,6,15,413,110,275,28,0,
Laguna Beach,"23,313",41,0,,3,5,33,469,87,356,26,5,
Laguna Hills,"31,134",53,0,,3,12,38,508,75,390,43,1,
Laguna Niguel,"64,894",57,0,,4,13,40,624,95,500,29,1,
Laguna Woods,"16,584",5,0,,2,1,2,132,22,100,10,2,
La Habra,"61,740",88,0,,8,33,47,"1,155",185,856,114,0,
La Habra Heights,"5,437",3,0,,1,0,2,55,33,20,2,0,
Lake Elsinore,"56,232",103,3,,2,32,66,"1,494",418,858,218,1,
Lake Forest,"79,336",105,2,,12,23,68,813,150,620,43,1,
Lakeport,"4,674",14,0,,2,1,11,272,60,192,20,0,
Lake Shastina,"2,482",2,0,,0,0,2,10,4,4,2,0,
Lakewood,"81,086",225,2,,11,110,102,"2,062",419,"1,356",287,9,
La Mesa,"58,482",181,1,,7,64,109,"1,968",354,"1,381",233,3,
La Mirada,"49,150",72,1,,9,14,48,841,207,520,114,3,
Lancaster,"159,792",832,9,,40,261,522,"3,495","1,062","2,030",403,49,
La Palma,"15,950",10,0,,0,8,2,326,80,221,25,3,
La Puente,"40,415",143,3,,12,48,80,493,149,219,125,5,
La Quinta,"39,150",68,0,,5,26,37,"1,494",402,"1,002",90,4,
La Verne,"31,439",37,0,,1,21,15,753,158,548,47,1,
Lawndale,"33,234",162,1,,9,51,101,419,151,172,96,4,
Lemon Grove,"26,156",145,1,,8,45,91,509,120,279,110,2,
Lemoore,"24,802",111,0,,6,28,77,608,112,408,88,5,
Lincoln,"44,831",25,0,,6,7,12,553,183,326,44,7,
Lindsay,"13,208",40,0,,1,12,27,310,99,161,50,2,
Livermore,"84,350",270,0,,12,44,214,"1,830",387,"1,275",168,15,
Livingston,"13,683",33,2,,1,2,28,196,39,127,30,1,
Lodi,"63,639",287,1,,11,89,186,"2,301",634,"1,302",365,15,
Loma Linda,"23,701",61,0,,1,10,50,721,166,402,153,3,
Lomita,"20,622",66,0,,2,17,47,414,114,231,69,1,
Lompoc,"43,581",188,0,,17,31,140,"1,051",311,660,80,17,
Long Beach,"469,665","2,346",34,,103,"1,118","1,091","12,999","3,776","6,868","2,355",97,
Los Alamitos,"11,735",24,0,,2,11,11,360,108,213,39,0,
Los Altos,"30,225",23,0,,5,13,5,358,79,262,17,4,
Los Altos Hills,"8,300",2,0,,1,0,1,83,47,35,1,3,
Los Angeles,"3,878,725","16,524",251,,764,"7,885","7,624","85,844","15,728","55,734","14,382","1,430",
Los Banos,"36,965",109,1,,3,31,74,"1,060",257,696,107,4,
Los Gatos,"30,351",25,0,,3,5,17,551,132,376,43,5,
